Designator,Mid X,Mid Y,Rotation,Layer
C1,-7.020992,-14.616295,180.0,bottom
C10,-22.870592,-1.382894,315.0,bottom
C11,-18.679592,-0.138295,225.0,bottom
C12,-8.128,-27.813,225.0,bottom
C13,-19.0754,-5.5118,90.0,bottom
C14,-20.000391,-5.497696,90.0,bottom
C15,-16.215792,-17.410294,270.0,bottom
C16,-20.660792,-13.778096,270.0,bottom
C2,-5.649391,-15.048095,270.0,bottom
C3,-9.154592,-9.536295,135.0,bottom
C4,-11.008792,-12.787495,225.0,bottom
C5,-12.50739,-15.048094,270.0,bottom
C6,-10.399191,-9.079094,135.0,bottom
C7,-10.348392,-12.127094,225.0,bottom
C8,-11.592991,-15.048095,270.0,bottom
C9,-12.913791,-5.827894,135.0,bottom
D1,-2.46929,-2.61071,225.0,bottom
D10,168.98071,-2.61071,225.0,bottom
D11,188.03071,-2.61071,225.0,bottom
D12,207.08071,-2.61071,225.0,bottom
D13,-0.08804,-21.66071,225.0,bottom
D14,21.34321,-21.66071,225.0,bottom
D15,40.39321,-21.66071,225.0,bottom
D16,59.44321,-21.66071,225.0,bottom
D17,78.49321,-21.66071,225.0,bottom
D18,97.54321,-21.66071,225.0,bottom
D19,116.59321,-21.66071,225.0,bottom
D2,16.58071,-2.61071,225.0,bottom
D20,135.64321,-21.66071,225.0,bottom
D21,154.69321,-21.66071,225.0,bottom
D22,173.74321,-21.66071,225.0,bottom
D23,199.93696,-21.66071,225.0,bottom
D24,4.67446,-40.71071,225.0,bottom
D25,30.86821,-40.71071,225.0,bottom
D26,49.91821,-40.71071,225.0,bottom
D27,68.96821,-40.71071,225.0,bottom
D28,88.01821,-40.71071,225.0,bottom
D29,107.06821,-40.71071,225.0,bottom
D3,35.63071,-2.61071,225.0,bottom
D30,126.11821,-40.71071,225.0,bottom
D31,145.16821,-40.71071,225.0,bottom
D32,164.21821,-40.71071,225.0,bottom
D33,183.26821,-40.71071,225.0,bottom
D34,204.69946,-40.71071,225.0,bottom
D35,-0.08804,-59.76071,225.0,bottom
D37,21.34321,-59.76071,225.0,bottom
D39,40.39321,-59.76071,225.0,bottom
D4,54.68071,-2.61071,225.0,bottom
D40,76.11196,-59.76071,225.0,bottom
D44,123.73696,-59.76071,225.0,bottom
D45,147.54946,-59.76071,225.0,bottom
D47,178.50571,-59.76071,225.0,bottom
D49,202.31821,-59.76071,225.0,bottom
D5,73.73071,-2.61071,225.0,bottom
D6,92.78071,-2.61071,225.0,bottom
D7,111.83071,-2.61071,225.0,bottom
D8,130.88071,-2.61071,225.0,bottom
D9,149.93071,-2.61071,225.0,bottom
J1,14.2875,-28.575,270.0,bottom
J3,-3.6,-38.09,180.0,top
R3,-4.6668,-38.7096,270.0,bottom
R4,-10.140167,-15.484917,45.0,bottom
R5,-9.454366,-14.799121,45.0,bottom
R6,-18.679592,-3.338696,315.0,bottom
R7,-6.080501,-25.801423,45.0,bottom
R8,-6.762999,-26.483922,225.0,bottom
R9,-7.4455,-27.166421,45.0,bottom
RV1,-29.149992,-28.574998,0.0,top
SW78,-2.2,-40.0,180.0,top
SW79,-0.8,-40.0,180.0,top
U1,-15.987192,-10.653896,225.0,bottom
U2,-7.249592,-12.431895,180.0,bottom
U4,-10.541,-21.971,135.0,bottom
Y1,-20.432191,-2.017893,315.0,bottom
