Designator,Mid X,Mid Y,Rotation,Layer
D1,259.578,-143.51,180.0,bottom
D10,459.603,-143.51,180.0,bottom
D11,478.653,-143.51,180.0,bottom
D12,497.703,-143.51,180.0,bottom
D13,516.753,-143.51,180.0,bottom
D14,545.328,-143.51,180.0,bottom
D15,259.578,-172.085,180.0,bottom
D16,278.628,-172.085,180.0,bottom
D17,297.678,-172.085,180.0,bottom
D18,316.728,-172.085,180.0,bottom
D19,335.778,-172.085,180.0,bottom
D2,288.153,-143.51,180.0,bottom
D20,354.828,-172.085,180.0,bottom
D21,373.878,-172.085,180.0,bottom
D22,392.928,-172.085,180.0,bottom
D23,411.978,-172.085,180.0,bottom
D24,431.028,-172.085,180.0,bottom
D25,450.078,-172.085,180.0,bottom
D26,469.128,-172.085,180.0,bottom
D27,488.178,-172.085,180.0,bottom
D28,507.228,-172.085,180.0,bottom
D3,307.203,-143.51,180.0,bottom
D30,526.278,-172.085,180.0,bottom
D31,545.328,-172.085,180.0,bottom
D32,264.3405,-191.135,180.0,bottom
D33,288.153,-191.135,180.0,bottom
D34,307.203,-191.135,180.0,bottom
D35,326.253,-191.135,180.0,bottom
D36,345.303,-191.135,180.0,bottom
D37,364.353,-191.135,180.0,bottom
D38,383.403,-191.135,180.0,bottom
D39,402.453,-191.135,180.0,bottom
D4,326.253,-143.51,180.0,bottom
D40,421.503,-191.135,180.0,bottom
D41,440.553,-191.135,180.0,bottom
D42,459.603,-191.135,180.0,bottom
D44,497.703,-191.135,180.0,bottom
D45,521.5155,-191.135,180.0,bottom
D47,545.328,-191.135,180.0,bottom
D48,261.95925,-210.185,180.0,bottom
D49,266.72175,-210.185,180.0,bottom
D5,345.303,-143.51,180.0,bottom
D50,292.9155,-210.185,180.0,bottom
D51,311.9655,-210.185,180.0,bottom
D52,331.0155,-210.185,180.0,bottom
D53,350.0655,-210.185,180.0,bottom
D54,369.1155,-210.185,180.0,bottom
D55,388.1655,-210.185,180.0,bottom
D56,407.2155,-210.185,180.0,bottom
D57,426.2655,-210.185,180.0,bottom
D58,445.3155,-210.185,180.0,bottom
D6,373.878,-143.51,180.0,bottom
D60,483.4155,-210.185,180.0,bottom
D61,502.4655,-210.185,180.0,bottom
D62,514.37175,-210.185,180.0,bottom
D63,545.328,-210.185,180.0,bottom
D64,271.48425,-229.235,180.0,bottom
D65,302.4405,-229.235,180.0,bottom
D66,321.4905,-229.235,180.0,bottom
D67,340.5405,-229.235,180.0,bottom
D68,359.5905,-229.235,180.0,bottom
D69,378.6405,-229.235,180.0,bottom
D7,392.928,-143.51,180.0,bottom
D70,397.6905,-229.235,180.0,bottom
D71,416.7405,-229.235,180.0,bottom
D72,435.7905,-229.235,180.0,bottom
D73,454.8405,-229.235,180.0,bottom
D75,500.08425,-229.235,180.0,bottom
D77,545.328,-229.235,180.0,bottom
D79,-124.2595,7.055,0.0,bottom
D8,411.978,-143.51,180.0,bottom
D81,-100.447,7.055,0.0,bottom
D83,-76.6345,7.055,0.0,bottom
D84,381.02175,-248.285,180.0,bottom
D85,4.328,7.055,0.0,bottom
D86,452.45925,-248.285,180.0,bottom
D87,85.2905,7.055,0.0,bottom
D88,476.27175,-248.285,180.0,bottom
D9,431.028,-143.51,180.0,bottom
J1,242.588,-114.26,0.0,top
J2,250.538,-114.26,0.0,top
SW76,331.978,-101.565,0.0,top
SW88,281.97175,-120.615,0.0,top
SW89,312.928,-120.615,0.0,top
U1,227.523,-107.592,0.0,top
